@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2024/05/31 12:46:42:297',1,145,78,90,1
2,'2024/05/31 12:46:42:336',1,143,76,92,1
3,'2024/05/31 12:46:42:365',1,145,76,90,1
4,'2024/05/31 12:46:42:395',1,146,76,88,1
5,'2024/05/31 12:46:42:424',1,145,75,91,1
6,'2024/05/31 12:46:42:452',1,145,74,91,1
7,'2024/05/31 12:46:42:481',1,147,76,89,1
8,'2024/05/31 12:46:42:509',1,147,76,89,1
9,'2024/05/31 12:46:42:541',1,147,77,88,1
10,'2024/05/31 12:46:42:576',1,147,77,90,1
11,'2024/05/31 12:46:42:608',1,148,77,90,1
12,'2024/05/31 12:46:42:636',1,147,77,92,1
13,'2024/05/31 12:46:42:664',1,148,77,91,1
14,'2024/05/31 12:46:42:697',1,149,78,90,1
15,'2024/05/31 12:46:42:752',1,150,79,89,1
16,'2024/05/31 12:46:42:806',1,149,79,90,1
17,'2024/05/31 12:46:42:859',1,149,78,91,1
18,'2024/05/31 12:46:42:912',1,150,79,89,1
19,'2024/05/31 12:46:42:964',1,150,79,89,1
20,'2024/05/31 12:46:43:017',1,148,78,92,1
21,'2024/05/31 12:46:43:070',1,146,79,92,1
22,'2024/05/31 12:46:43:123',1,146,78,93,1
23,'2024/05/31 12:46:43:176',1,143,79,93,1
24,'2024/05/31 12:46:43:229',1,142,80,92,1
25,'2024/05/31 12:46:43:282',1,140,79,92,1
26,'2024/05/31 12:46:43:336',1,137,79,94,1
27,'2024/05/31 12:46:43:389',1,135,79,91,1
28,'2024/05/31 12:46:43:443',1,131,79,94,1
29,'2024/05/31 12:46:43:497',1,130,80,91,1
30,'2024/05/31 12:46:43:551',1,126,79,92,1
31,'2024/05/31 12:46:43:607',1,122,79,93,1
32,'2024/05/31 12:46:43:664',1,121,80,92,1
33,'2024/05/31 12:46:43:720',1,116,80,93,1
34,'2024/05/31 12:46:43:774',1,114,81,93,1
35,'2024/05/31 12:46:43:835',1,113,81,91,1
36,'2024/05/31 12:46:43:891',1,112,82,87,1
37,'2024/05/31 12:46:43:946',1,107,81,92,1
38,'2024/05/31 12:46:44:000',1,108,84,85,1
39,'2024/05/31 12:46:44:055',1,105,84,88,1
40,'2024/05/31 12:46:44:109',1,102,84,87,1
41,'2024/05/31 12:46:44:166',1,100,84,89,1
42,'2024/05/31 12:46:44:221',1,99,85,86,1
43,'2024/05/31 12:46:44:277',1,96,84,88,1
44,'2024/05/31 12:46:44:332',1,95,84,89,1
45,'2024/05/31 12:46:44:369',1,93,84,88,1
46,'2024/05/31 12:46:44:398',1,93,85,87,1
47,'2024/05/31 12:46:44:428',1,92,84,87,1
48,'2024/05/31 12:46:44:458',1,91,84,87,1
49,'2024/05/31 12:46:44:488',1,89,83,91,1
50,'2024/05/31 12:46:44:517',1,90,84,89,1
51,'2024/05/31 12:46:44:547',1,89,84,89,1
52,'2024/05/31 12:46:44:578',1,89,84,89,1
53,'2024/05/31 12:46:44:610',1,88,84,89,1
54,'2024/05/31 12:46:44:643',1,88,84,89,1
55,'2024/05/31 12:46:44:677',1,88,84,89,1
56,'2024/05/31 12:46:44:715',1,88,84,90,1
57,'2024/05/31 12:46:44:745',1,88,84,88,1
58,'2024/05/31 12:46:44:778',1,88,84,88,1
59,'2024/05/31 12:46:44:812',1,89,84,88,1
60,'2024/05/31 12:46:44:846',1,88,84,90,1
61,'2024/05/31 12:46:44:878',1,89,83,91,1
62,'2024/05/31 12:46:44:908',1,90,84,89,1
63,'2024/05/31 12:46:44:943',1,91,84,90,1
64,'2024/05/31 12:46:44:977',1,92,85,87,1
65,'2024/05/31 12:46:45:011',1,92,84,88,1
66,'2024/05/31 12:46:45:046',1,94,85,87,1
67,'2024/05/31 12:46:45:084',1,95,83,89,1
68,'2024/05/31 12:46:45:116',1,97,83,88,1
69,'2024/05/31 12:46:45:149',1,98,83,87,1
70,'2024/05/31 12:46:45:184',1,100,83,87,1
71,'2024/05/31 12:46:45:220',1,102,83,88,1
72,'2024/05/31 12:46:45:253',1,103,82,88,1
73,'2024/05/31 12:46:45:283',1,104,81,91,1
74,'2024/05/31 12:46:45:313',1,107,82,87,1
75,'2024/05/31 12:46:45:343',1,107,80,91,1
76,'2024/05/31 12:46:45:373',1,107,80,91,1
77,'2024/05/31 12:46:45:406',1,109,80,92,1
78,'2024/05/31 12:46:45:439',1,113,80,89,1
79,'2024/05/31 12:46:45:470',1,114,80,90,1
80,'2024/05/31 12:46:45:500',1,114,79,95,1
81,'2024/05/31 12:46:45:529',1,119,81,90,1
82,'2024/05/31 12:46:45:558',1,121,80,90,1
83,'2024/05/31 12:46:45:587',1,123,79,91,1
84,'2024/05/31 12:46:45:617',1,127,80,88,1
85,'2024/05/31 12:46:45:645',1,130,80,87,1
86,'2024/05/31 12:46:45:674',1,133,81,85,1
87,'2024/05/31 12:46:45:705',1,133,81,85,1
88,'2024/05/31 12:46:45:747',1,135,80,88,1
89,'2024/05/31 12:46:45:803',1,140,81,85,1
90,'2024/05/31 12:46:45:859',1,141,81,87,1
91,'2024/05/31 12:46:45:912',1,147,81,84,1
92,'2024/05/31 12:46:45:965',1,147,81,86,1
93,'2024/05/31 12:46:46:018',1,152,82,84,1
94,'2024/05/31 12:46:46:071',1,154,81,85,1
95,'2024/05/31 12:46:46:123',1,156,81,86,1
96,'2024/05/31 12:46:46:176',1,158,82,84,1
97,'2024/05/31 12:46:46:229',1,160,82,84,1
98,'2024/05/31 12:46:46:281',1,160,81,85,1
99,'2024/05/31 12:46:46:333',1,162,82,84,1
100,'2024/05/31 12:46:46:386',1,163,82,84,1
101,'2024/05/31 12:46:46:442',1,164,82,85,1
102,'2024/05/31 12:46:46:495',1,165,83,83,1
103,'2024/05/31 12:46:46:547',1,165,83,85,1
104,'2024/05/31 12:46:46:599',1,165,84,85,1
105,'2024/05/31 12:46:46:651',1,164,85,85,1
106,'2024/05/31 12:46:46:703',1,163,85,86,1
107,'2024/05/31 12:46:46:754',1,161,86,86,1
108,'2024/05/31 12:46:46:806',1,161,88,86,1
109,'2024/05/31 12:46:46:858',1,161,89,87,1
110,'2024/05/31 12:46:46:911',1,161,93,83,1
111,'2024/05/31 12:46:46:978',1,160,96,86,1
112,'2024/05/31 12:46:47:030',1,157,99,88,1
113,'2024/05/31 12:46:47:082',1,158,101,87,1
114,'2024/05/31 12:46:47:137',1,158,105,87,1
115,'2024/05/31 12:46:47:189',1,156,106,89,1
116,'2024/05/31 12:46:47:240',1,155,107,87,1
117,'2024/05/31 12:46:47:293',1,156,108,84,1
