@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1926,'2024/05/30 14:54:25:072',15,0,0,9.02878,5.393682,2.204968,3.377525,3.444348,2.588993,2.237699,2.405318,5.377519,8.336821,4.534935,3.509986,1.629544,1.721054,3.473099,3.926517,4.518855,3.824073,3.23673,2.669461,1.621096,2.304311,1.422231,0,?,?,0,0,0
1927,'2024/05/30 14:54:25:105',15,0,0,7.852781,2.138997,2.746055,3.888616,2.094634,1.941333,0.99577,1.648886,1.767099,2.258188,3.38043,5.319208,4.979669,3.119767,2.488467,3.86281,4.359257,4.34167,2.720198,2.283898,2.278755,2.598482,1.397751,0,?,?,0,0,0
1928,'2024/05/30 14:54:25:139',15,0,0,12.975145,8.66068,2.01988,1.480173,1.528265,2.697035,1.681428,1.733631,1.616787,1.790988,4.482933,4.073456,3.121838,1.580417,2.891542,3.956123,3.463012,3.635156,3.717924,1.979204,1.604772,1.936899,1.777787,0,?,?,0,0,0
1929,'2024/05/30 14:54:25:172',15,0,0,14.786877,5.865678,2.399827,2.787828,2.655046,4.079746,1.413979,1.435901,1.955913,2.159232,4.080382,4.75142,1.772691,2.836268,5.228506,3.36629,5.529941,1.762066,1.730418,1.563235,1.490532,1.556461,1.228402,0,?,?,0,0,0
1930,'2024/05/30 14:54:25:206',15,0,0,8.926294,3.682595,2.14081,2.451431,2.189785,3.470349,3.076377,1.55095,2.403877,1.408273,2.677056,5.153053,3.386864,3.797148,4.012431,5.074801,3.152056,2.255549,1.804783,1.950891,2.771132,1.777401,1.178459,0,?,?,0,0,0
1931,'2024/05/30 14:54:25:239',15,0,0,9.893954,7.67598,4.352524,2.705516,2.070018,1.648205,1.02337,1.33882,1.220726,1.0971,2.296974,2.309148,1.604524,5.040802,6.573296,4.451642,3.236351,3.004063,2.728371,1.079831,1.988712,2.249269,1.349852,0,?,?,0,0,0
1932,'2024/05/30 14:54:25:273',15,0,0,11.989559,4.150568,3.804659,3.296218,1.708453,1.572922,1.460916,2.361748,2.190085,2.911852,2.487838,2.625907,2.866216,4.283877,3.149309,4.38238,5.051327,4.186653,2.915615,2.4703,2.115706,1.862391,1.253559,0,?,?,0,0,0
1933,'2024/05/30 14:54:25:306',15,0,0,10.827408,5.112938,2.222482,3.468805,3.614291,2.068878,0.952966,1.43291,1.137765,1.31195,0.946936,1.349452,3.101259,1.324811,2.60161,2.648263,4.01485,3.337805,2.536017,2.251367,2.091855,2.07586,1.27228,0,?,?,0,0,0
1934,'2024/05/30 14:54:25:339',15,0,0,11.052549,6.710867,3.991266,3.634492,1.292371,1.759317,0.488261,1.687953,1.724797,1.655229,2.073084,2.055787,2.113926,3.40924,3.737473,3.584067,2.572623,2.641238,2.393334,2.841523,1.865515,1.718422,0.991926,0,?,?,0,0,0
1935,'2024/05/30 14:54:25:373',15,0,0,7.964733,2.153965,4.924226,3.765226,2.891637,2.822227,1.973766,1.725092,2.541602,1.58743,1.852949,4.455781,2.725075,2.223665,3.741541,3.227307,3.500351,2.327624,2.753421,2.538117,1.607728,1.44505,0.837082,0,?,?,0,0,0
1936,'2024/05/30 14:54:25:407',15,0,0,8.784039,4.780521,2.879941,2.781428,3.846705,3.060087,1.135058,1.652884,2.392119,2.125433,2.332575,3.632531,3.063824,3.201138,4.012483,3.81273,3.072362,2.656537,2.655019,2.108086,1.432587,1.396441,1.136043,0,?,?,0,0,0
1937,'2024/05/30 14:54:25:440',15,0,0,10.802909,6.808372,3.83217,4.93457,3.829592,2.059334,0.806327,1.335672,3.184164,3.175401,2.889269,2.89644,3.021832,1.929922,2.892199,3.164666,3.899245,2.843049,1.720499,1.646357,1.542039,1.480097,1.093439,0,?,?,0,0,0
1938,'2024/05/30 14:54:25:473',15,0,0,14.693874,4.832856,4.265326,3.913355,1.73336,3.324191,1.975122,1.464711,1.116109,2.447039,1.476539,1.848708,2.267124,3.933797,2.502301,2.742258,3.286469,3.034508,2.346818,1.808153,2.448742,1.739197,1.288393,0,?,?,0,0,0
1939,'2024/05/30 14:54:25:506',15,0,0,7.083867,4.4562,4.736729,3.892907,3.036742,5.079066,2.518629,1.466691,2.533353,1.074252,0.916094,2.490716,1.730182,3.042945,4.680245,4.893967,3.586702,2.65349,2.033651,1.768191,1.021923,1.353245,1.36054,0,?,?,0,0,0
1940,'2024/05/30 14:54:25:539',15,0,0,9.365076,6.442885,5.297856,3.858971,2.119862,3.199537,2.004923,2.112212,3.212497,2.392336,1.153106,2.859966,2.618011,2.194548,4.752765,3.950459,5.177094,3.135384,3.320083,1.453439,1.846992,1.937956,1.195624,0,?,?,0,0,0
1941,'2024/05/30 14:54:25:573',15,0,0,7.613768,2.877877,4.320979,5.632415,3.428749,2.30824,1.210728,0.896999,2.157296,2.05159,2.596723,2.996189,2.434636,2.859583,3.06997,3.616141,3.745403,3.650609,1.383154,1.463932,1.768375,1.430739,1.79968,0,?,?,0,0,0
1942,'2024/05/30 14:54:25:605',15,0,0,12.756646,5.488167,2.230157,2.889235,3.524427,3.385153,1.354256,0.931309,1.334394,1.421857,2.040195,2.031686,4.154635,3.502384,3.627915,3.885127,3.14387,2.505483,1.845277,1.496968,1.377739,1.471017,1.511669,0,?,?,0,0,0
1943,'2024/05/30 14:54:25:638',15,0,0,13.492309,8.458469,2.477958,2.346162,1.009379,2.414511,3.025821,2.509544,1.547529,2.588729,2.407074,2.084713,2.584464,3.814186,3.662616,2.698741,3.394272,3.486188,1.296768,1.305589,1.424516,1.602768,1.316603,0,?,?,0,0,0
1944,'2024/05/30 14:54:25:673',15,0,0,12.538955,7.386953,2.490955,3.206305,1.496775,1.249718,1.075172,2.678731,2.374275,1.786301,1.132339,3.29864,2.29886,2.175664,4.414418,2.080146,1.817609,1.353794,1.880718,2.211251,1.148242,1.475771,1.466537,0,?,?,0,0,0
1945,'2024/05/30 14:54:25:706',15,0,0,10.68042,4.249538,3.166645,4.144271,1.455074,1.128252,1.398457,1.066248,1.969968,1.774737,2.166982,4.136355,3.835024,3.922636,2.828718,4.627693,3.265653,3.478372,2.470098,1.913769,1.597762,1.868797,1.008033,0,?,?,0,0,0
1946,'2024/05/30 14:54:25:739',15,0,0,11.393523,12.666685,8.474386,2.149511,4.740402,3.795688,3.112854,3.135167,3.419517,3.928043,1.592244,2.846333,2.330218,4.110482,9.456342,13.472267,9.329164,3.061785,3.639567,4.554622,2.240686,2.268495,3.362614,0,?,?,0,0,0
1947,'2024/05/30 14:54:25:772',15,0,0,9.160729,4.002172,6.990782,4.003458,1.062225,1.645875,1.135909,0.825057,1.28966,2.627264,3.294307,3.715165,2.553716,3.045478,5.369833,8.351548,4.722374,2.815424,2.70517,3.011129,2.036095,1.77432,2.261194,0,?,?,0,0,0
1948,'2024/05/30 14:54:25:806',15,0,0,4.954331,4.659777,2.30782,3.576031,2.225753,0.630837,1.067796,1.185653,1.972402,1.81503,1.945904,1.289671,2.040551,3.148503,3.945517,6.746285,6.329817,2.555563,2.95247,2.223759,1.585995,2.731319,2.344346,0,?,?,0,0,0
1949,'2024/05/30 14:54:25:840',15,0,0,5.578585,3.533132,7.235855,4.240479,2.012868,1.865336,1.254718,2.94957,3.695505,1.584551,1.683893,2.371462,2.7415,3.1017,3.036037,2.636419,3.270942,2.578923,2.325185,1.63187,2.141428,1.926684,2.112404,0,?,?,0,0,0
1950,'2024/05/30 14:54:25:872',15,0,0,7.845109,3.590654,3.10489,3.82426,1.49359,0.90521,1.183425,1.221505,0.928758,1.044331,1.620556,3.325982,2.46096,3.49808,4.662103,5.218857,5.81673,3.117906,1.539563,1.03209,1.859535,2.18585,1.46334,0,?,?,0,0,0
1951,'2024/05/30 14:54:25:907',15,0,0,10.526092,21.282667,15.944566,10.920179,12.873007,16.534212,23.556067,27.864233,12.426417,10.301518,5.395543,18.366558,6.197083,1.745501,2.428003,3.33491,4.434909,3.527197,2.844467,7.092964,4.873891,2.842815,1.503299,0,?,?,0,0,0
1952,'2024/05/30 14:54:25:940',15,0,0,10.706065,18.215996,10.597591,11.78456,7.574984,12.625983,36.822689,35.853439,22.727411,10.72995,4.76254,13.392094,11.745201,4.989119,3.041347,2.933777,6.643136,8.501884,5.166481,21.066051,16.909124,3.62045,1.991126,0,?,?,0,0,0
1953,'2024/05/30 14:54:25:974',15,0,0,13.263681,23.853584,24.139215,15.339349,6.994897,7.126255,12.897041,19.143038,35.162029,12.403629,4.726821,11.730787,12.435511,30.788395,47.394035,36.579033,49.212559,42.301094,13.14416,40.467789,28.480742,9.938318,3.8689,0,?,?,0,0,0
1954,'2024/05/30 14:54:26:007',15,0,0,4.950614,2.225074,13.762993,9.739231,2.302583,3.221448,13.054072,8.165395,16.871542,14.898308,8.019629,5.136538,8.415644,23.349468,33.583939,29.505323,35.813725,36.6805,24.06039,46.139389,26.543386,10.981761,4.411705,0,?,?,0,0,0
1955,'2024/05/30 14:54:26:039',15,0,0,12.041958,6.87848,10.607292,11.3804,3.877251,4.236059,2.280596,7.325497,6.604382,3.623504,3.298658,3.809257,4.313263,15.902283,12.894979,9.610128,10.527152,8.85749,12.473768,13.871975,6.103037,3.025868,2.32166,0,?,?,0,0,0
1956,'2024/05/30 14:54:26:073',15,0,0,3.872555,7.576123,4.652715,1.81582,1.583007,1.934374,5.210558,6.405086,11.777373,3.375083,3.864711,4.705467,6.539644,9.531202,9.319457,3.67365,6.761875,8.660323,6.613464,5.596372,3.413612,2.326739,1.553847,0,?,?,0,0,0
1957,'2024/05/30 14:54:26:106',15,0,0,6.609635,3.231444,3.369931,2.85927,3.071121,3.308551,2.987767,5.425459,5.054694,4.282644,1.739364,1.422137,2.15033,6.351229,6.561832,5.83934,5.596846,5.945851,3.521152,4.341134,3.407238,1.901583,2.249789,0,?,?,0,0,0
1958,'2024/05/30 14:54:26:139',15,0,0,9.807141,4.775716,1.05417,1.875144,2.699332,2.514814,1.746319,2.165855,2.16063,2.760364,2.400362,2.962983,2.063966,5.025124,7.620798,4.219716,5.715677,3.839703,4.041969,5.303111,3.144498,2.984281,2.415776,0,?,?,0,0,0
1959,'2024/05/30 14:54:26:172',15,0,0,7.790843,6.185889,1.306752,1.413882,0.566534,1.176692,1.200865,3.454377,4.180048,2.555517,1.240027,1.477242,2.458435,3.426583,4.863489,3.619519,3.867603,3.135512,3.192609,2.403211,2.856112,1.857057,2.586117,0,?,?,0,0,0
1960,'2024/05/30 14:54:26:206',15,0,0,6.405261,3.673361,2.356414,1.569382,1.198111,2.71745,1.322012,1.495843,1.477257,1.620623,2.605151,2.746278,5.094064,3.517909,3.456968,4.816272,3.277271,3.661782,3.062232,2.825833,2.553198,2.309814,2.449224,0,?,?,0,0,0
1961,'2024/05/30 14:54:26:239',15,0,0,3.620023,4.337237,4.340667,2.564913,1.823559,1.573079,1.074012,1.936225,3.487484,1.320986,1.640488,3.806494,3.094066,1.779402,3.853694,3.619595,2.765942,3.104521,1.852935,2.273043,2.223619,1.753069,2.527822,0,?,?,0,0,0
1962,'2024/05/30 14:54:26:273',15,0,0,11.945647,5.624999,2.745584,3.126007,1.472809,1.41836,0.806517,1.127127,1.057554,2.110473,2.450835,3.578783,4.335216,2.738127,4.432382,4.235707,4.400275,4.730263,1.560536,3.088352,1.853339,1.400753,1.818752,0,?,?,0,0,0
1963,'2024/05/30 14:54:26:306',15,0,0,11.644522,3.790403,0.555032,2.517603,2.07612,2.689062,1.714398,0.948891,1.206811,0.958501,1.333063,2.617609,3.700156,2.26307,3.985145,3.212925,3.294478,2.517372,1.874522,1.613647,1.416729,1.215154,2.03634,0,?,?,0,0,0
1964,'2024/05/30 14:54:26:340',15,0,0,9.144992,6.472663,3.193,2.226667,1.083993,1.349699,1.16422,1.152445,1.694191,2.502463,2.549066,4.950843,3.29687,1.865409,3.548271,3.271976,5.045897,4.956465,2.192489,2.148879,1.613824,1.540435,1.862695,0,?,?,0,0,0
1965,'2024/05/30 14:54:26:374',15,0,0,10.706591,5.453967,11.563624,2.904019,2.154371,4.386215,1.93456,1.503916,4.560263,3.646383,2.405878,2.411283,4.184306,2.942079,4.938752,5.256512,5.5913,3.938754,2.620429,2.328984,2.069557,2.113724,1.867418,0,?,?,0,0,0
1966,'2024/05/30 14:54:26:406',15,0,0,5.266157,5.970109,10.452161,4.772357,6.864458,5.123964,1.267023,2.631503,2.950701,1.874903,1.645978,4.179394,1.375727,1.434968,2.653833,2.719898,3.783095,3.474993,2.695408,2.108466,1.497246,1.602724,1.472828,0,?,?,0,0,0
1967,'2024/05/30 14:54:26:440',15,0,0,7.994534,3.264767,6.508839,6.625237,3.229981,1.801848,1.837781,0.986874,1.607005,1.892372,0.824067,2.019057,3.733844,3.405052,4.242082,4.083104,2.736466,1.569216,1.834455,1.963066,2.442802,1.445916,1.466186,0,?,?,0,0,0
1968,'2024/05/30 14:54:26:473',15,0,0,4.585098,1.247106,3.50034,4.131367,4.28164,1.939968,1.285419,0.761925,3.266045,2.215806,2.088183,2.503386,3.007801,2.910098,4.541685,3.998526,3.529295,3.550011,2.529906,1.969661,1.928616,2.156372,1.347951,0,?,?,0,0,0
1969,'2024/05/30 14:54:26:506',15,0,0,8.775215,3.876961,5.144243,2.83014,1.169983,3.908931,2.674824,2.054945,2.209356,1.816978,1.94012,3.054927,3.733501,3.217265,2.123552,2.973262,2.535333,2.413355,1.954324,1.667886,2.579836,2.547417,1.688158,0,?,?,0,0,0
